,Spesies,A.CAPAS_DEL_CORTEX,A.CAPA_INTERNA_DEL_CORTEX,A.CORTEX,A.CORTEX_FIBROSO,A.CORTEX_SOLO_DE_ESPICULAS_TANGENCIALES,A.CUERPOS_EXTRANOS_EN_EL_CORTEX,A.GROSOR_DEL_CORTEX,A.HACES_DE_ESPICULAS_PRINCIPALES_EN_POMPON_EN_EL_CORTEX,A.TILOSTILOS_ADICIONALES_COANOSOMA,B.NUMERO_DE_TIPOS_DE_MEGASCLERAS,C.TIPO_ESPICULA_PRINCIPAL_DIACTINA_TUBERCULADA,C.TIPO_ESPICULA_PRINCIPAL_ESTILO,C.TIPO_ESPICULA_PRINCIPAL_ESTILOS_2_TAMANOS,C.TIPO_ESPICULA_PRINCIPAL_ESTILO_TILOSTILO,C.TIPO_ESPICULA_PRINCIPAL_ESTRONGILOXA,C.TIPO_ESPICULA_PRINCIPAL_OXAS,C.TIPO_ESPICULA_PRINCIPAL_TILOSTILO,D.ESPICULA_PRINCIPAL_ESTILO,D.ESPICULA_PRINCIPAL_TILOSTILO,D.FORMA_BASE_TILOSTILO_PRINCIPAL,E.DISPOSICION_MEGASCLERAS_ECTOSOMICAS_EN_EL_ECTOSOMA,E.FORMA_BASE_TILOSTILO_ECTOSOMICO,E.FORMA_MEGASCLERA_ECTOSOMICA,E.TIPO_MEGASCLERA_ECTOSOMICA,F.TIPO_DE_EXOSTILO,G.FORMA_MEGASCLERA_INTERMEDIARIA,G.TIPO_MEGASCLERA_INTERMEDIARIA,H.LONGITUD_MEGASCLERAS,I.MICROSCLERAS,I.TIPO_MICROSCLERA,J.ASTER,J.DIAMETRO_ESFERASTER,J.TIPO_DE_ASTER,J.TIPO_DE_DIPLASTER,J.TIPO_DE_ESFERASTER,K.FORMA_FINAL,L.NUMERO_DE_PAPILAS,L.PAPILAS,M.COLOR,N.SUPERFICIE,O.DISPOSICION_ESPICULAR_ESQUELETO,P.ALOJA_CANGREJO_ERMITANO,P.PERFORANTE,P.PSEUDORAICES,P.SUSTRATO
0,AAPTOS_AAPTOS,1,0,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,3,0,0,0,0,0,0,0,6,0,0,3,5,5,0,0,0,3
2,CLIONA_CARTERI,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,1,1,1,1,0,4,0,0,5,1,1,3,4,2,0,1,0,3
3,CLIONA_CELATA,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,6,3,1,3,4,2,0,1,0,3
4,CLIONA_LABYRINTHICA,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4,2,0,1,0,3
5,CLIONA_SCHMIDTI,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,1,1,1,0,4,0,0,5,1,1,3,4,2,0,1,0,3
6,CLIONA_VIRIDIS,1,0,1,1,0,0,4,0,0,1,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,1,1,1,1,0,4,0,0,6,3,1,3,4,2,0,1,0,3
7,DIPLASTRELLA_BISTELLATA,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1,1,1,1,0,2,2,0,5,0,0,3,4,3,0,0,0,3
10,LAXOSUBERITES_FERRERHERNANDEZI,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,1,0,3,3,2,2,1,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,3,5,4,0,0,0,3
11,LAXOSUBERITES_RUGOSUS,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,3,3,4,0,0,0,3
12,OXYCORDYLA_PELLITA,1,0,1,0,1,0,1,0,0,3,0,1,0,0,1,0,0,2,0,0,3,0,1,3,0,0,0,3,1,2,0,0,0,0,0,7,0,0,1,4,5,0,0,0,3
